iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,6.664447099959943,None,space,0.40156570001272485,7.588894299988169,None,,,,,,,,,,,,,,,,,,,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,1,1,1,1,323,231,1133,0,0,0,0,0,0,0,0,,,,,,,17.980936500011012,None,space,1.8604863000218756,17.980936500011012,None,20.863439799984917,21.867186399991624,21.867186399991624,26.66730029997416,26.653573299990967,None,22.864043329964623,25.682367399975192,"['num_3', 'num_2', 'num_3']","[0.42982659995323047, 0.6229686999577098, 0.8098459999891929]",26.653573299990967,None,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,0,1,1,0,123,231,3233,0,0,0,0,0,1,1,1,,,,,,,,,,,,,37.64031349995639,38.63971059996402,38.63971059996402,43.4404411999858,43.4404411999858,36.675847799982876,39.638420129957375,None,"['num_1', 'num_2', 'num_3']","[0.8349296000087634, 1.0229526000330225, 1.221937700000126]",43.4404411999858,36.675847799982876,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,0,0,1,0,233,312,1131,0,0,0,0,0,2,2,2,,,,,,,,,,,,,54.430381799989846,55.429355999978725,55.429355999978725,60.232217699987814,60.232217699987814,53.44748659996549,56.42942383001209,None,"['num_2', 'num_3', 'num_3']","[0.8211335999658331, 1.0151542999665253, 1.1791108999750577]",60.232217699987814,53.44748659996549,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,1,1,0,0,313,122,3111,0,0,0,0,0,3,3,3,,,,,,,,,,,,,71.22011429996928,72.22100590000628,72.22100590000628,77.02448449999793,77.02448449999793,70.23936579999281,73.22184083000175,None,None,,77.02448449999793,70.23936579999281,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,0,1,0,1,321,112,2113,0,0,0,0,0,4,4,4,,,,,,,,,,,,,88.01224359998014,89.02937080000993,89.01275369996438,93.81328329996904,93.81328329996904,87.03035079996334,90.01270602999139,None,None,,93.81328329996904,87.03035079996334,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,0,1,1,1,322,231,3212,0,0,0,0,0,5,5,5,,,,,,,,,,,,,104.80297199997585,105.802517300006,105.802517300006,110.6056790999719,110.6056790999719,103.8211054999847,106.8036859299813,109.62034219998168,None,,110.6056790999719,103.8211054999847,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,1,0,0,0,313,132,1122,0,0,0,0,0,6,6,6,,,,,,,,,,,,,121.59399959997972,122.59744569996838,122.59744569996838,127.39822400000412,127.39822400000412,120.61227559996769,123.59301913000527,126.41119359998265,None,,127.39822400000412,120.61227559996769,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,0,0,0,0,223,311,3313,0,0,0,0,0,7,7,7,,,,,,,,,,,,,138.38494989997707,139.40230869996594,139.38543019996723,144.18767740001203,144.18767740001203,137.40208430000348,140.38409632997937,143.1999297000002,None,,144.18767740001203,137.40208430000348,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,0,1,1,1,312,121,3233,0,0,0,0,0,8,8,8,,,,,,,,,,,,,155.1742513999925,156.1756021999754,156.1756021999754,160.97848849999718,160.97848849999718,154.19239519996336,157.17491822998855,159.99081449996447,None,,160.97848849999718,154.19239519996336,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,1,1,1,0,312,133,3311,0,0,0,0,0,9,9,9,,,,,,,,,,,,,171.96679340000264,172.96756999997888,172.96756999997888,177.76927749998868,177.76927749998868,170.98473819997162,173.96758662997163,176.78283639997244,None,,177.76927749998868,170.98473819997162,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,1,0,1,0,321,213,2232,0,0,0,0,0,10,10,10,,,,,,,,,,,,,188.75770189997274,189.7747614000109,189.75799199996982,194.558702899958,194.558702899958,187.77565909997793,190.7582072299614,None,None,,194.558702899958,187.77565909997793,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
