iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,trialKey.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.390582300024107,None,space,0.3474955999990925,6.309961099992506,None,,,,,,,,,,,,,,,,,,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,0,1,1,1,121,213,1212,0,0,0,0,0,0,0,0,,,,,,,16.664218500023708,None,space,3.146041099971626,16.664218500023708,None,20.833765399991535,21.835998499998823,21.835998499998823,26.638452799990773,26.638452799990773,None,22.83619127004058,None,None,26.638452799990773,None,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,1,0,0,0,132,321,1221,0,0,0,0,0,1,1,1,,,,,,,,,,,,,28.638045700034127,29.63901550002629,29.63901550002629,34.44146020000335,34.44146020000335,27.657813200028613,30.625553169992052,None,None,34.44146020000335,27.657813200028613,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,1,1,1,1,131,212,3121,0,0,0,0,0,2,2,2,,,,,,,,,,,,,36.44067099998938,37.44289200002095,37.44289200002095,42.24224110000068,42.24224110000068,35.45654620003188,38.440428570035145,41.25837220001267,None,42.24224110000068,35.45654620003188,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,0,0,1,0,121,212,1332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,44.22932690003654,45.228176400007214,45.228176400007214,50.03017300000647,50.03017300000647,43.246762400027364,46.22985077003832,49.0483336999896,None,50.03017300000647,43.246762400027364,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,1,0,0,1,213,132,2133,0,0,0,0,0,4,4,4,,,,,,,,,,,,,52.01607240003068,53.03116760001285,53.01447920000646,57.818652699992526,57.818652699992526,51.03321480000159,54.01383267000201,None,None,57.818652699992526,51.03321480000159,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,0,0,1,1,123,212,3131,0,0,0,0,0,5,5,5,,,,,,,,,,,,,59.816628300002776,60.820140000025276,60.820140000025276,65.61928390001412,65.61928390001412,58.834413500037044,61.820285369997144,64.63781049998943,None,65.61928390001412,58.834413500037044,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,1,1,0,1,131,212,1212,0,0,0,0,0,6,6,6,,,,,,,,,,,,,67.60984009999083,68.62309250002727,68.60721190000186,73.40759960003197,73.40759960003197,66.62380290002329,69.6052492700459,None,None,73.40759960003197,66.62380290002329,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,0,1,1,0,313,231,1213,0,0,0,0,0,7,7,7,,,,,,,,,,,,,75.4100432000123,76.41175020002993,76.41175020002993,81.21276510000462,81.21276510000462,74.42456050001783,77.41071877000505,None,None,81.21276510000462,74.42456050001783,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,1,1,0,0,123,231,3213,0,0,0,0,0,8,8,8,,,,,,,,,,,,,83.19703500001924,84.19755460001761,84.19755460001761,88.99955659999978,88.99955659999978,82.21443699998781,85.19773577002925,None,None,88.99955659999978,82.21443699998781,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,1,0,0,0,231,323,2212,0,0,0,0,0,9,9,9,,,,,,,,,,,,,90.98385760001838,91.98419119999744,91.98419119999744,96.78644210001221,96.78644210001221,90.00210360001074,92.98470567004406,None,"['num_1', 'num_1', 'num_1']",96.78644210001221,90.00210360001074,"[0.3976616999716498, 0.529674099991098, 0.6526562999933958]",1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,1,0,1,0,313,232,3312,0,0,0,0,0,10,10,10,,,,,,,,,,,,,98.77363419998437,99.78782720002346,99.77113930002088,104.58801290002884,104.56989759998396,97.7883404000313,100.76759296999663,None,"['num_3', 'num_1', 'num_3']",104.56989759998396,97.7883404000313,"[0.37521249998826534, 0.45122210000408813, 0.5582412999938242]",1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,0,1,0,1,311,232,3131,0,0,0,0,0,11,11,11,,,,,,,,,,,,,106.55757370003266,107.5580273999949,107.5580273999949,112.35821119998582,112.35821119998582,105.57221800001571,108.55661656999146,None,None,112.35821119998582,105.57221800001571,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,1,1,0,1,231,313,3313,0,0,0,0,0,12,12,12,,,,,,,,,,,,,114.34550180000952,115.36252289998811,115.34482380002737,120.14678100001765,120.14678100001765,113.35875369998394,116.34597357002204,None,None,120.14678100001765,113.35875369998394,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,0,1,1,0,133,312,2212,0,0,0,0,0,13,13,13,,,,,,,,,,,,,122.12987870001234,123.13180430000648,123.13180430000648,127.9339389000088,127.9339389000088,121.14852220000466,124.1321262700425,None,None,127.9339389000088,121.14852220000466,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,0,0,1,0,212,321,1332,0,0,0,0,0,14,14,14,,,,,,,,,,,,,129.91843870002776,130.91880009998567,130.91880009998567,135.72088159999112,135.72088159999112,128.93513719999464,131.91898737004377,134.7355438999948,None,135.72088159999112,128.93513719999464,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,0,0,1,0,321,232,2333,0,0,0,0,0,15,15,15,,,,,,,,,,,,,137.72187090001535,138.72358280001208,138.72358280001208,143.52584840002237,143.52584840002237,136.74262650002493,139.72260626999778,142.5392070999951,None,143.52584840002237,136.74262650002493,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,1,1,0,0,131,312,1112,0,0,0,0,0,16,16,16,,,,,,,,,,,,,145.50712150003528,146.5091012000339,146.5091012000339,151.3113655000343,151.3113655000343,144.52593390003312,147.5082092700235,150.3236440999899,None,151.3113655000343,144.52593390003312,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,0,1,0,0,313,232,1221,0,0,0,0,0,17,17,17,,,,,,,,,,,,,153.29552480002167,154.29729170002975,154.29729170002975,159.09880050003994,159.09880050003994,152.31279639998684,155.29764597002068,None,None,159.09880050003994,152.31279639998684,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,1,0,1,1,131,323,2112,0,0,0,0,0,18,18,18,,,,,,,,,,,,,161.08089250000194,162.08517949999077,162.08517949999077,166.886657199997,166.886657199997,160.10353950003628,163.08447837003624,None,None,166.886657199997,160.10353950003628,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,1,0,0,1,213,331,1131,0,0,0,0,0,19,19,19,,,,,,,,,,,,,168.887307099998,169.9013554000412,169.88634090003325,174.68859550001798,174.68859550001798,167.90349980001338,170.88882037002477,173.70323570002802,None,174.68859550001798,167.90349980001338,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,0,1,1,0,333,121,3311,0,0,0,0,0,20,20,20,,,,,,,,,,,,,176.6727305999957,177.67192799999611,177.67192799999611,182.47539030003827,182.47539030003827,175.68986640003277,178.67780587002053,None,None,182.47539030003827,175.68986640003277,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,0,1,0,0,132,313,3311,0,0,0,0,0,21,21,21,,,,,,,,,,,,,184.4595449999906,185.47877839999273,185.46006140002282,190.26070129999425,190.26070129999425,183.49142800003756,186.4603252700239,189.27693200000795,None,190.26070129999425,183.49142800003756,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,1,0,1,0,323,131,3133,0,0,0,0,0,22,22,22,,,,,,,,,,,,,192.24645410000812,193.2468482000404,193.2468482000404,198.05049890000373,198.05049890000373,191.26468469999963,194.24717197003193,None,None,198.05049890000373,191.26468469999963,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,0,0,1,1,331,223,2123,0,0,0,0,0,23,23,23,,,,,,,,,,,,,200.0497880000039,201.06810110004153,201.05035820003832,205.85262800002238,205.85262800002238,199.0672460999922,202.04916057002848,204.86727940000128,None,205.85262800002238,199.0672460999922,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,0,1,0,1,313,121,1312,0,0,0,0,0,24,24,24,,,,,,,,,,,,,207.83743860002141,208.85389680002118,208.8386694000219,213.64107740001054,213.64107740001054,206.8570452000131,209.83861037000898,212.65415140002733,None,213.64107740001054,206.8570452000131,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
1,1,0,1,1,212,123,3123,0,0,0,0,0,25,25,25,,,,,,,,,,,,,215.64180979999946,216.6592277000309,216.64383120002458,221.45959580002818,221.4440543000237,214.65712119999807,217.64101806999534,220.45915609999793,None,221.4440543000237,214.65712119999807,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,1,0,1,1,232,311,3131,0,0,0,0,0,26,26,26,,,,,,,,,,,,,223.42716540000401,224.4303971999907,224.4303971999907,229.2322615000303,229.2322615000303,222.44453229999635,225.4278561699961,228.24441759998444,None,229.2322615000303,222.44453229999635,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
0,0,0,0,1,213,132,1231,0,0,0,0,0,27,27,27,,,,,,,,,,,,,231.21393630001694,232.2143775000004,232.2143775000004,237.01805900002364,237.01805900002364,230.2312920000404,233.21475947002764,None,None,237.01805900002364,230.2312920000404,,1,001,2022_Jan_09_2009,expDesign,2021.2.3,59.72035347781396,
