iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.0974815000081435,None,space,0.80311639996944,6.049044199986383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,0,1,1,1,121,213,1212,0,0,0,0,0,0,0,0,,,,,,,16.856790199992247,None,space,1.0973059000098146,16.856790199992247,None,18.973486099974252,19.974162800004706,19.974162800004706,24.7764214000199,24.7764214000199,None,20.97405206002295,None,"['num_1', 'num_2', 'num_1']","[3.9856576999882236, 4.177655500010587, 4.368661999993492]",24.7764214000199,None,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,1,0,0,0,132,321,1221,0,0,0,0,0,1,1,1,,,,,,,,,,,,,35.76523000001907,36.766782900027465,36.766782900027465,41.58206390001578,41.56459610001184,None,37.767765059985685,40.582087100017816,None,,41.56459610001184,None,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,1,1,1,1,131,212,3121,0,0,0,0,0,2,2,2,,,,,,,,,,,,,52.55578350002179,53.55618219997268,53.55618219997268,58.35862830001861,58.35862830001861,51.5703984000138,54.55685625997139,57.37328689999413,None,,58.35862830001861,51.5703984000138,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,0,0,1,0,121,212,1332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,69.34580549999373,70.34739409998292,70.34739409998292,75.15355370001635,75.15355370001635,68.36345599999186,71.34974055996864,None,"['num_1', 'num_2', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1']","[0.8745234000380151, 1.0745515000307932, 1.2734759000013582, 1.4774688000325114, 1.863464499998372, 2.0314648000057787, 2.2064887000015005, 2.3824765000026673, 2.56548190000467, 2.745484800019767, 2.9364957000361755, 3.103471900045406, 3.283603999996558, 3.4584730000351556, 3.6264897999935783, 3.805463000026066, 3.989473800000269]",75.15355370001635,68.36345599999186,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,1,0,0,1,213,132,2133,0,0,0,0,0,4,4,4,,,,,,,,,,,,,86.13665719999699,87.13832959998399,87.13832959998399,91.9404719999875,91.9404719999875,85.15520149999065,88.13889505997068,90.95532609999646,"['num_2', 'num_1']","[0.8325343999895267, 0.9235367000219412]",91.9404719999875,85.15520149999065,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,0,0,1,1,123,212,3131,0,0,0,0,0,5,5,5,,,,,,,,,,,,,102.92881239997223,103.92920750001213,103.92920750001213,108.73147040000185,108.73147040000185,101.94496739999158,104.92975365996827,107.74625199998263,None,,108.73147040000185,101.94496739999158,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,1,1,0,1,131,212,1212,0,0,0,0,0,6,6,6,,,,,,,,,,,,,119.71985960000893,120.71866479999153,120.71866479999153,125.52318259997992,125.52318259997992,118.73697660001926,121.71916775996797,None,None,,125.52318259997992,118.73697660001926,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,0,1,1,0,313,231,1213,0,0,0,0,0,7,7,7,,,,,,,,,,,,,136.51020919997245,137.51065870001912,137.51065870001912,142.31309359997977,142.31309359997977,135.5300583000062,138.5113232600037,None,None,,142.31309359997977,135.5300583000062,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,1,1,0,0,123,231,3213,0,0,0,0,0,8,8,8,,,,,,,,,,,,,153.302929700003,154.30204420001246,154.30204420001246,159.10419949999778,159.10419949999778,152.31767119996948,155.30242515999126,None,None,,159.10419949999778,152.31767119996948,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
