iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,364.52528779999966,None,space,2.8028200999997352,365.4924165999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,1,0,0,1,321,233,3113,2,0,2,0,0,0,0,0,,,,,,,378.3027532000001,None,space,2.0399048000008406,378.3027532000001,None,381.4055706000004,382.4066409000002,382.38945620000004,387.1928296000001,387.17653240000027,None,383.3900443599997,None,"['num_3', 'num_2', 'num_1']","[0.8858949999994365, 1.1420649000001504, 1.3830305000001317]",387.17653240000027,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,1,0,0,1,121,313,2111,2,0,2,0,0,1,1,1,,,,,,,,,,,,,396.1841212000004,397.18454710000015,397.18454710000015,401.9883238999996,401.97180460000027,None,398.1853856600002,401.0043327999997,"['num_1', 'num_2', 'num_1']","[0.9710537000000841, 1.2591077999995832, 1.5152542999994694]",401.97180460000027,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,0,1,0,0,323,231,1211,2,0,2,0,0,2,2,2,,,,,,,,,,,,,410.9957363999997,411.9964137000002,411.9798745000003,416.78306680000014,416.78306680000014,None,412.9807629600001,None,"['num_3', 'num_2', 'num_3']","[0.8957688999998936, 1.1675705999996353, 1.455985999999939]",416.78306680000014,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,1,0,1,0,323,231,1123,2,0,2,0,0,3,3,3,,,,,,,,,,,,,425.79077579999966,426.7919316000002,426.7919316000002,431.5953039000001,431.5786597000001,None,427.7756891600003,None,"['num_3', 'num_2', 'num_3']","[0.48467429999982414, 0.819982600000003, 1.1161847000003036]",431.5786597000001,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,1,0,0,0,323,232,3112,2,0,2,0,0,4,4,4,,,,,,,,,,,,,440.58599019999974,441.5871331000003,441.5871331000003,446.3911712000004,446.3911712000004,None,442.58788386000026,None,"['num_3', 'num_2', 'num_3']","[1.1754590999998982, 1.4878011999999217, 1.7837071000003561]",446.3911712000004,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,0,0,1,1,313,231,1312,2,0,2,0,0,5,5,5,,,,,,,,,,,,,455.36450829999967,456.3656569,456.3656569,461.1698451999996,461.1698451999996,None,457.3663199599997,None,"['num_3', 'num_1', 'num_3']","[0.6448048000002018, 0.932926899999984, 1.1967648999998346]",461.1698451999996,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,1,1,1,0,232,313,3231,2,0,2,0,0,6,6,6,,,,,,,,,,,,,470.1933187999998,471.1939266000004,471.1771997000001,475.9814497000002,475.9644936999998,469.1930788000004,472.1780502599996,None,"['num_2', 'num_3', 'num_2']","[0.9863786999994772, 1.2265267000002495, 1.4663418999998612]",475.9644936999998,469.1930788000004,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,0,1,0,1,323,132,2321,2,0,2,0,0,7,7,7,,,,,,,,,,,,,484.9721744000003,485.97238530000004,485.9557570000002,490.7597791000003,490.7597791000003,483.97111259999974,486.9569192600003,489.77563899999996,"['num_3', 'num_2', 'num_3']","[0.7668934000002992, 1.1190213999998377, 1.4789445000005799]",490.7597791000003,483.97111259999974,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,1,0,1,0,313,221,2122,2,0,2,0,0,8,8,8,,,,,,,,,,,,,499.7842649999998,500.78450180000027,500.76782479999974,505.5716067999997,505.5716067999997,498.7849500999996,501.76861336000013,None,"['num_3', 'num_1', 'num_3']","[0.7235619000002771, 0.9951472000002468, 1.2588242000001628]",505.5716067999997,498.7849500999996,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,0,1,1,0,123,332,1211,2,0,2,0,0,9,9,9,,,,,,,,,,,,,514.5790607000004,515.5798994000002,515.5626230000003,520.3668951000004,520.3668951000004,None,516.56360856,519.3826276000004,"['num_1', 'num_2', 'num_3']","[0.5762956999997186, 0.8800363999998808, 1.135972799999763]",520.3668951000004,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,0,0,0,1,132,313,1323,2,0,2,0,0,10,10,10,,,,,,,,,,,,,529.3747196999998,530.3750280999998,530.3750280999998,535.1793337000004,535.1793337000004,528.3909878999998,531.3757529599999,None,"['num_1', 'num_3', 'num_2']","[0.7233443999994051, 1.0675886999997601, 1.4272800999997344]",535.1793337000004,528.3909878999998,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,0,0,1,0,121,212,3132,2,0,2,0,0,11,11,11,,,,,,,,,,,,,544.1860726,545.1867415000002,545.1867415000002,549.9904447000004,549.9904447000004,None,546.18732766,None,"['num_1', 'num_2', 'num_1']","[0.8882462999999916, 1.2162287999999535, 1.4721768999997948]",549.9904447000004,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,0,1,1,0,323,132,3132,2,0,2,0,0,12,12,12,,,,,,,,,,,,,558.9812582999998,559.9813724,559.9813724,564.7859283000003,564.7859283000003,None,560.9828963600004,563.8018268999999,"['num_3', 'num_2', 'num_3']","[0.4127577999997811, 0.6927910000003976, 0.9488227000001643]",564.7859283000003,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,0,1,1,0,111,333,2333,2,0,2,0,0,13,13,13,,,,,,,,,,,,,573.7933742,574.7945629000001,574.7770525000001,579.5808473000002,579.5808473000002,None,575.77782356,None,"['num_1', 'num_1', 'num_1']","[0.40177700000003824, 0.6418929999999818, 0.8578486000005796]",579.5808473000002,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,1,1,0,1,212,323,3332,2,0,2,0,0,14,14,14,,,,,,,,,,,,,588.5879109000002,589.5891282999996,589.5726631000002,594.3763457999999,594.3763457999999,None,590.5733878599996,593.3922938000001,"['num_2', 'num_1', 'num_2']","[0.6784636000002138, 0.9823287999997774, 1.2384060000003956]",594.3763457999999,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,1,1,0,0,331,122,3112,2,0,2,0,0,15,15,15,,,,,,,,,,,,,603.3833132000004,604.3844834999995,604.3844834999995,609.1881888000003,609.1881888000003,None,605.3850057600004,None,"['num_3', 'num_3', 'num_1']","[0.43499289999999746, 0.706449999999677, 0.9625963999997111]",609.1881888000003,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,0,1,0,1,211,323,1222,2,0,2,0,0,16,16,16,,,,,,,,,,,,,618.1787023000002,619.1792767000002,619.1792767000002,623.983968,623.983968,None,620.1803254600001,622.9995094000001,"['num_2', 'num_1', 'num_1']","[0.8071584999997867, 1.1185551999997188, 1.3827737999999954]",623.983968,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,1,1,0,0,112,233,1332,2,0,2,0,0,17,17,17,,,,,,,,,,,,,633.0073416,634.0085801999999,633.9913877000004,638.7953777999996,638.7953777999996,None,634.9922752599997,637.8108809,"['num_1', 'num_1', 'num_2']","[0.33923909999975876, 0.6274316999997609, 1.0756596999999601]",638.7953777999996,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,0,1,1,1,131,312,3313,2,0,2,0,0,18,18,18,,,,,,,,,,,,,647.8031400000004,648.8032571999997,648.7866398000001,653.5903274999996,653.5903274999996,None,649.7873852599997,None,"['num_1', 'num_3', 'num_1']","[0.7762332000002061, 1.016612399999758, 1.2562824999995428]",653.5903274999996,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
0,0,0,1,1,232,323,1211,2,0,2,0,0,19,19,19,,,,,,,,,,,,,662.5814278000003,663.5822298999997,663.5822298999997,668.3862491000004,668.3862491000004,None,664.58270706,667.4025089000002,"['num_2', 'num_3', 'num_2']","[0.476790699999583, 0.748469600000135, 0.9805188999998791]",668.3862491000004,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,1,0,0,0,222,131,3221,2,0,2,0,0,20,20,20,,,,,,,,,,,,,677.4098502000002,678.4114670000004,678.3935715000002,683.1976811999998,683.1805951000001,None,679.3944712599997,None,"['num_2', 'num_2', 'num_2']","[0.561874799999714, 0.8420330999997532, 1.090103700000327]",683.1805951000001,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,0,1,0,0,131,212,2231,2,0,2,0,0,21,21,21,,,,,,,,,,,,,692.1885927999997,693.1888655999996,693.1721101999997,697.9757955,697.9757955,None,694.1730761600003,None,"['num_1', 'num_3', 'num_1']","[0.6068589999995311, 0.8548586999995678, 1.1107302999998865]",697.9757955,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
1,1,0,0,1,313,231,3112,2,0,2,0,0,22,22,22,,,,,,,,,,,,,707.0002728000004,708.0006258999997,707.9842531999998,712.7881755000003,712.7881755000003,None,708.9853959599997,None,"['num_1', 'num_1', 'num_3']","[1.1148255999996763, 1.4347438999993756, 1.7380455999991682]",712.7881755000003,None,,,,,,,,,,,,,1,001,2022_Apr_23_1501,expDesign_,2021.2.3,59.730448432089,
