iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,9.866258600000037,None,space,12.123223000000053,10.816557700000033,None,,,,,,,,,,,,,,,,,,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
0,1,0,1,0,323,232,3221,0,0,0,0,0,0,0,0,,,,,,,32.96913620000004,None,space,0.8424057000000289,32.96913620000004,None,34.869490799999994,35.88662070000004,35.87043779999999,40.69077200000004,40.64175590000002,None,36.854877520000045,39.67345160000002,None,40.64175590000002,None,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
1,0,0,1,0,131,213,3232,0,0,0,0,0,1,1,1,,,,,,,,,,,,,49.6653427,50.66573980000004,50.64924690000004,55.45371560000001,55.45371560000001,None,51.649782720000005,54.4703035,None,55.45371560000001,None,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
1,0,1,1,1,121,232,2321,0,0,0,0,0,2,2,2,,,,,,,,,,,,,64.44357640000004,65.44444870000001,65.44444870000001,70.24796810000004,70.24796810000004,None,66.44491792000001,None,None,70.24796810000004,None,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
1,0,0,0,0,112,333,1332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,79.25558649999999,80.25639000000001,80.25639000000001,85.0600081,85.04333050000002,None,81.25706462000004,84.07631070000002,None,85.04333050000002,None,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
1,1,1,0,0,212,323,2331,0,0,0,0,0,4,4,4,,,,,,,,,,,,,94.050726,95.05167260000002,95.05167260000002,99.85622940000002,99.85622940000002,None,96.05230412000002,None,None,99.85622940000002,None,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
1,1,0,1,0,121,213,3323,0,0,0,0,0,5,5,5,,,,,,,,,,,,,108.8310237,109.83233089999999,109.83233089999999,114.63385540000002,114.63385540000002,None,110.83214322000002,None,None,114.63385540000002,None,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
0,0,0,1,1,231,313,1211,0,0,0,0,0,6,6,6,,,,,,,,,,,,,123.64210860000003,124.641821,124.641821,129.4456771,129.43045340000003,122.65766289999999,125.62713062000005,128.4447541,None,129.43045340000003,122.65766289999999,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
0,0,1,1,0,233,121,2232,0,0,0,0,0,7,7,7,,,,,,,,,,,,,138.4382521,139.4386505,139.4386505,144.2418278,144.2418278,137.4532815,140.43907052,143.2568463,None,144.2418278,137.4532815,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
0,0,1,0,1,123,312,1312,0,0,0,0,0,8,8,8,,,,,,,,,,,,,153.2323462,154.23399740000002,154.23399740000002,159.03618140000003,159.03618140000003,None,155.23444551999998,158.05305170000003,None,159.03618140000003,None,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
1,0,1,1,1,122,231,1311,0,0,0,0,0,9,9,9,,,,,,,,,,,,,168.04338510000002,169.0460572,169.0460572,173.84817320000002,173.8330969,None,170.04589302000002,172.8654957,None,173.8330969,None,1,001,2022_Apr_23_1244,expStairCase,2021.2.3,59.88092080089508,
