iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.999790499918163,None,space,1.9989975999342278,6.91680429992266,None,,,,,,,,,,,,,,,,,,,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
0,0,1,1,1,121,213,1212,0,0,0,0,0,0,0,0,,,,,,,18.908361800014973,None,space,1.6634743999456987,18.908361800014973,None,21.590634000021964,22.591682499973103,22.591682499973103,27.394237899919972,27.394237899919972,None,23.591253559978213,None,['left'],[0.4416209999471903],27.394237899919972,None,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
0,1,0,0,0,132,321,1221,0,0,0,0,0,1,1,1,,,,,,,,,,,,,36.38155890000053,37.382011299952865,37.382011299952865,42.18420180003159,42.18420180003159,None,38.38251805998152,41.19934359996114,['left'],[1.0006463000318035],42.18420180003159,None,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
1,1,1,1,1,131,212,3121,0,0,0,0,0,2,2,2,,,,,,,,,,,,,51.18629959993996,52.18674509995617,52.17071849992499,56.97238539997488,56.97238539997488,50.187582599930465,53.17135496000992,None,['right'],[1.549390000058338],56.97238539997488,50.187582599930465,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
1,0,0,1,0,121,212,1332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,65.96109639992937,66.97737670002971,66.96002859994769,71.76018029998522,71.76018029998522,64.97896360000595,67.96218645997578,None,['right'],[0.6585681000724435],71.76018029998522,64.97896360000595,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
1,1,0,0,1,213,132,2133,0,0,0,0,0,4,4,4,,,,,,,,,,,,,80.7498660000274,81.7503092000261,81.7503092000261,86.55236819991842,86.55236819991842,79.7673454999458,82.75080996000906,None,['left'],[0.632347899954766],86.55236819991842,79.7673454999458,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
1,0,0,1,1,123,212,3131,0,0,0,0,0,5,5,5,,,,,,,,,,,,,95.54034479998518,96.5428875000216,96.5428875000216,101.34239020000678,101.34239020000678,94.55852949991822,97.54078445996856,None,['left'],[0.5963111999444664],101.34239020000678,94.55852949991822,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
0,1,1,0,1,131,212,1212,0,0,0,0,0,6,6,6,,,,,,,,,,,,,110.32977720000781,111.33032489998732,111.33032489998732,116.13235660002101,116.13235660002101,109.34827830002178,112.33071945997654,None,['right'],[0.45036649995017797],116.13235660002101,109.34827830002178,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
0,0,1,1,0,313,231,1213,0,0,0,0,0,7,7,7,,,,,,,,,,,,,125.11981930001639,126.120336699998,126.120336699998,130.9223698999267,130.9223698999267,124.1382711000042,127.12070945993764,None,['left'],[0.4503077999688685],130.9223698999267,124.1382711000042,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
1,1,1,0,0,123,231,3213,0,0,0,0,0,8,8,8,,,,,,,,,,,,,139.91008369997144,140.91022850002628,140.91022850002628,145.71246099995915,145.71246099995915,138.92790789995342,141.91137585992692,None,['right'],[0.52715909993276],145.71246099995915,138.92790789995342,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
1,1,0,0,0,231,323,2212,0,0,0,0,0,9,9,9,,,,,,,,,,,,,154.69975139992312,155.70017600001302,155.70017600001302,160.50328419997822,160.50328419997822,153.7179220999824,156.7013346599997,None,['right'],[1.2003312000306323],160.50328419997822,153.7179220999824,1,001,2022_Jan_11_1429,expStairCase,2021.2.3,59.94991782021533,
