iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,11.216141100041568,None,space,2.3301784000359476,12.183701100060716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,1,0,1,0,323,232,3221,0,0,0,0,0,0,0,0,,,,,,,24.50906670000404,None,space,0.9467644999967888,24.50906670000404,None,26.476361399982125,27.47696870006621,27.47696870006621,32.27982150006574,32.27982150006574,None,28.477264720061793,31.294564199983142,['down'],[0.7630093999905512],32.27982150006574,None,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,0,0,1,0,131,213,3232,0,0,0,0,0,1,1,1,,,,,,,,,,,,,41.2667818000773,42.26499649998732,42.26499649998732,47.06990120001137,47.06990120001137,None,43.268050820031206,46.082576200016774,"['down', 'down']","[0.47990710008889437, 2.346941400086507]",47.06990120001137,None,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,0,1,1,1,121,232,2321,0,0,0,0,0,2,2,2,,,,,,,,,,,,,56.05261870007962,57.05445340008009,57.05445340008009,61.859327299986035,61.859327299986035,55.069492700044066,58.05642792005092,60.872050200006925,['down'],[2.810450499993749],61.859327299986035,55.069492700044066,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,0,0,0,0,112,333,1332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,70.84726209996734,71.84687200002372,71.84687200002372,76.65010379999876,76.65010379999876,69.86242370004766,72.84771321997978,75.66463720006868,['up'],[0.671620300039649],76.65010379999876,69.86242370004766,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,1,1,0,0,212,323,2331,0,0,0,0,0,4,4,4,,,,,,,,,,,,,85.63664340006653,86.63757720007561,86.63757720007561,91.43950650002807,91.43950650002807,84.65359450003598,87.63938122002874,90.45211880002171,None,,91.43950650002807,84.65359450003598,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,1,0,1,0,121,213,3323,0,0,0,0,0,5,5,5,,,,,,,,,,,,,100.42464970005676,101.4256405000342,101.4256405000342,106.2295992000727,106.2295992000727,99.4397904999787,102.42768272005488,105.24433090002276,['up'],[3.0570466000353917],106.2295992000727,99.4397904999787,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,0,0,1,1,231,313,1211,0,0,0,0,0,6,6,6,,,,,,,,,,,,,115.21549700002652,116.21756770007778,116.21756770007778,121.01817210006993,121.01817210006993,114.23469010007102,117.21770882005804,120.03456810000353,['down'],[0.3924721999792382],121.01817210006993,114.23469010007102,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,0,1,1,0,233,121,2232,0,0,0,0,0,7,7,7,,,,,,,,,,,,,130.00567550002597,131.0060357999755,131.0060357999755,135.80987950006966,135.80987950006966,129.02496539999265,132.00720752000342,134.8247204000363,['down'],[0.4667646000161767],135.80987950006966,129.02496539999265,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,0,1,0,1,123,312,1312,0,0,0,0,0,8,8,8,,,,,,,,,,,,,144.79626760003157,145.797624800005,145.797624800005,150.59983479999937,150.59983479999937,143.81485099997371,146.7978077200707,149.61453320004512,['down'],[0.9217376000015065],150.59983479999937,143.81485099997371,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,0,1,1,1,122,231,1311,0,0,0,0,0,9,9,9,,,,,,,,,,,,,159.58718719996978,160.58647970005404,160.58647970005404,165.3898693000665,165.3898693000665,158.60477730003186,161.58766302005387,164.40467479999643,['down'],[0.37566519994288683],165.3898693000665,158.60477730003186,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,0,1,1,1,131,312,1333,0,0,0,0,0,10,10,10,,,,,,,,,,,,,174.37691110000014,175.3774090000661,175.3774090000661,180.17833690007683,180.17833690007683,173.39432359999046,176.3763772200793,179.19449919997714,['down'],[0.32218459993600845],180.17833690007683,173.39432359999046,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,1,1,0,0,311,123,2312,0,0,0,0,0,11,11,11,,,,,,,,,,,,,189.16680230002385,190.16703959996812,190.16703959996812,194.96881540003233,194.96881540003233,188.18834250001237,191.1697040200699,None,['down'],[2.268659400055185],194.96881540003233,188.18834250001237,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,0,1,1,1,333,121,2332,0,0,0,0,0,12,12,12,,,,,,,,,,,,,203.95726170006674,204.9744178999681,204.9574926000787,209.7599581000395,209.7599581000395,202.97470889997203,205.95803032005205,208.77488939999603,['down'],[1.8484995999606326],209.7599581000395,202.97470889997203,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,0,1,1,0,312,221,3121,0,0,0,0,0,13,13,13,,,,,,,,,,,,,218.74720820004586,219.75109530007467,219.75109530007467,224.56653000006918,224.5481692000758,217.76468580006622,220.74753282002638,223.56455020001158,['down'],[0.3952376999659464],224.5481692000758,217.76468580006622,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
