iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,trialKey.rt,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.680020699976012,None,space,1.218236899934709,6.602485100040212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,1,0,1,0,323,232,3221,0,0,0,0,0,0,0,0,,,,,,,17.822838500025682,None,space,1.2148828000063077,17.822838500025682,None,20.057850099983625,21.05859190004412,21.05859190004412,25.861952999955975,25.861952999955975,None,22.05901062004268,None,None,25.861952999955975,None,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,0,0,1,0,131,213,3232,0,0,0,0,0,1,1,1,,,,,,,,,,,,,34.85204839997459,35.853349399985746,35.853349399985746,40.668275099946186,40.65162160003092,None,36.85293332003057,None,['down'],40.65162160003092,None,[0.5720609000418335],,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,0,1,1,1,121,232,2321,0,0,0,0,0,2,2,2,,,,,,,,,,,,,49.638785999966785,50.6407642000122,50.6407642000122,55.443749799975194,55.443749799975194,48.657561099971645,51.642887719953436,None,['down'],55.443749799975194,48.657561099971645,[1.2479097999166697],,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,0,0,0,0,112,333,1332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,64.43237129994668,65.44440639996901,65.42778310005087,70.2314016999444,70.2314016999444,63.445379100041464,66.42995382000227,None,None,70.2314016999444,63.445379100041464,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,1,1,0,0,212,323,2331,0,0,0,0,0,4,4,4,,,,,,,,,,,,,79.21785220003221,80.21922490000725,80.21922490000725,85.02146129996981,85.02146129996981,78.23546869994607,81.21972112001386,None,None,85.02146129996981,78.23546869994607,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,1,0,1,0,121,213,3323,0,0,0,0,0,5,5,5,,,,,,,,,,,,,94.00894780003,95.00992089998908,95.00992089998908,99.81158249999862,99.81158249999862,93.02545469999313,96.01249972002115,None,"['down', 'down']",99.81158249999862,93.02545469999313,"[0.15499710000585765, 0.5699893001001328]",,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,0,0,1,1,231,313,1211,0,0,0,0,0,6,6,6,,,,,,,,,,,,,108.7989417000208,109.8014506000327,109.8014506000327,114.60179079999216,114.60179079999216,107.81545810005628,110.79992291999515,None,None,114.60179079999216,107.81545810005628,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,0,1,1,0,233,121,2232,0,0,0,0,0,7,7,7,,,,,,,,,,,,,123.5888077999698,124.59214530000463,124.59214530000463,129.39322770002764,129.39322770002764,122.60781610000413,125.58836572004948,128.39451430004556,"['up', 'down']",129.39322770002764,122.60781610000413,"[1.9762839999748394, 7.543306600069627]",,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,0,1,0,1,123,312,1312,0,0,0,0,0,8,8,8,,,,,,,,,,,,,138.3911782000214,139.3937326000305,139.3937326000305,144.19902239996009,144.19902239996009,137.4079511000309,140.3966714200098,143.21056529995985,None,144.19902239996009,137.4079511000309,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
