iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,trialKey.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,4.731677799999488,None,space,0.47258700000020326,5.700278100000105,None,,,,,,,,,,,,,,,,,,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,1.0,1.0,1.0,1.0,232.0,323.0,3113.0,0,0,0,0,0,0,0,0,,,,,,,16.206336100000044,None,space,0.7986447000002954,16.206336100000044,None,18.05881649999992,19.07867350000015,19.059694200000195,23.865555999999742,23.84837189999962,None,20.045233929999814,None,None,23.84837189999962,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,1.0,1.0,0.0,0.0,212.0,323.0,2333.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,32.83918540000013,33.84040730000015,33.84040730000015,38.660633399999824,38.660633399999824,None,34.83979683000034,37.657383099999606,None,38.660633399999824,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,0.0,1.0,0.0,0.0,323.0,212.0,3311.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,47.65105219999987,48.650446999999986,48.633688099999745,53.43939969999974,53.43939969999974,None,49.63393013000022,None,None,53.43939969999974,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,0.0,0.0,1.0,1.0,321.0,213.0,2231.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,62.42914070000006,63.43103319999955,63.43103319999955,68.23381989999962,68.23381989999962,None,64.43080813000033,67.24795979999999,None,68.23381989999962,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,1.0,1.0,1.0,1.0,312.0,231.0,3231.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,77.23950390000027,78.24309269999958,78.24309269999958,83.07910309999988,83.07910309999988,None,79.24279783000001,82.05961709999974,None,83.07910309999988,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,1.0,1.0,0.0,0.0,212.0,323.0,1133.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,92.06817289999981,93.07168860000002,93.05790900000011,97.85569209999994,97.85569209999994,None,94.05934532999963,None,None,97.85569209999994,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,0.0,1.0,1.0,1.0,131.0,313.0,3213.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,106.83249609999984,107.83366529999967,107.83366529999967,112.63716959999965,112.63716959999965,None,108.8340291299999,None,None,112.63716959999965,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,0.0,1.0,0.0,1.0,132.0,213.0,2231.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,121.64045420000002,122.64408230000026,122.64408230000026,127.4492309999996,127.4492309999996,None,123.64487712999998,126.46218399999998,None,127.4492309999996,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,0.0,1.0,1.0,1.0,232.0,321.0,1323.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,136.43936930000018,137.4395701000003,137.4395701000003,142.2420990999999,142.2420990999999,None,138.44126572999977,141.25742699999955,"['up', 'up', 'up', 'up']",142.2420990999999,None,"[2.026506899999731, 2.138798400000269, 2.24269699999968, 2.346557500000017]",1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
