iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.426093900000524,None,space,0.3205511000005572,6.396298100000422,None,,,,,,,,,,,,,,,,,,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,1.0,1.0,1.0,1.0,232.0,323.0,3113.0,0,0,0,0,0,0,0,0,,,,,,,16.73565039999994,None,space,0.6452306000001045,16.73565039999994,None,18.404182199999923,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,1.0,1.0,0.0,0.0,212.0,323.0,2333.0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,19.40687109999999,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,0.0,1.0,0.0,0.0,323.0,212.0,3311.0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,20.422524800000247,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,0.0,0.0,1.0,1.0,321.0,213.0,2231.0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,1.0,1.0,1.0,1.0,312.0,231.0,3231.0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,1.0,1.0,0.0,0.0,212.0,323.0,1133.0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,0.0,1.0,1.0,1.0,131.0,313.0,3213.0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,24.395389299999806,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,0.0,1.0,0.0,1.0,132.0,213.0,2231.0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,25.395359699999972,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,0.0,1.0,1.0,1.0,232.0,321.0,1323.0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,26.39741520000007,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,0.0,1.0,1.0,1.0,231.0,312.0,1233.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,27.39772660000017,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,0.0,0.0,1.0,0.0,231.0,323.0,1331.0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,1.0,1.0,1.0,1.0,121.0,212.0,1222.0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,0.0,0.0,1.0,0.0,311.0,232.0,3222.0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,30.40014330000031,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,0.0,1.0,1.0,0.0,131.0,313.0,2233.0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,31.40099470000041,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,0.0,1.0,1.0,0.0,212.0,123.0,2332.0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,1.0,0.0,0.0,1.0,312.0,131.0,3331.0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,33.41715310000018,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,1.0,0.0,1.0,1.0,112.0,231.0,1333.0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,1.0,0.0,1.0,0.0,323.0,212.0,3233.0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,35.40345780000007,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,0.0,0.0,1.0,0.0,312.0,123.0,1121.0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,1.0,1.0,1.0,1.0,121.0,213.0,1333.0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,37.405425699999796,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,1.0,0.0,1.0,0.0,312.0,231.0,3233.0,0,0,0,0,0,20,20,20,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,1.0,0.0,1.0,1.0,132.0,321.0,3311.0,0,0,0,0,0,21,21,21,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
