iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.220714200000657,None,space,0.09971279999990657,6.187548400000196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,1,1,1,0,123,231,3113,0,0,0,0,0,0,0,0,,,,,,,16.309984800000166,None,space,1.2413270999995802,16.309984800000166,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,0,1,1,0,113,232,3123,0,0,0,0,0,1,1,1,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,0,1,1,1,322,131,2333,0,0,0,0,0,2,2,2,,,,,,,,,,,,,20.580982000000404,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,1,0,1,0,232,121,1131,0,0,0,0,0,3,3,3,,,,,,,,,,,,,21.581443600000057,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,0,0,1,0,231,113,2112,0,0,0,0,0,4,4,4,,,,,,,,,,,,,22.59908600000017,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,1,0,0,1,121,312,3313,0,0,0,0,0,5,5,5,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,1,0,1,1,312,131,3221,0,0,0,0,0,6,6,6,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,1,1,1,1,321,232,3321,0,0,0,0,0,7,7,7,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,0,0,0,0,323,212,2321,0,0,0,0,0,8,8,8,,,,,,,,,,,,,26.57117190000008,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,0,0,1,1,223,132,2121,0,0,0,0,0,9,9,9,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,1,0,1,1,213,122,2332,0,0,0,0,0,10,10,10,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,1,0,1,0,112,323,2313,0,0,0,0,0,11,11,11,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,0,1,0,1,232,313,2311,0,0,0,0,0,12,12,12,,,,,,,,,,,,,30.574121300000115,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,0,1,1,0,332,123,2321,0,0,0,0,0,13,13,13,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,1,1,1,0,132,321,1132,0,0,0,0,0,14,14,14,,,,,,,,,,,,,32.58956240000043,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,1,0,1,1,323,112,2333,0,0,0,0,0,15,15,15,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,0,0,1,1,213,131,3231,0,0,0,0,0,16,16,16,,,,,,,,,,,,,34.57494029999998,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,0,1,1,1,213,332,1231,0,0,0,0,0,17,17,17,,,,,,,,,,,,,35.578768900000796,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,1,0,0,0,231,323,3221,0,0,0,0,0,18,18,18,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,1,1,1,1,313,132,1231,0,0,0,0,0,19,19,19,,,,,,,,,,,,,37.577032500000314,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,0,0,1,0,321,213,2133,0,0,0,0,0,20,20,20,,,,,,,,,,,,,38.59457240000029,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,1,1,0,0,212,123,2223,0,0,0,0,0,21,21,21,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,1,1,0,0,321,213,1213,0,0,0,0,0,22,22,22,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,0,1,1,0,332,121,3221,0,0,0,0,0,23,23,23,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,1,0,1,0,213,321,1131,0,0,0,0,0,24,24,24,,,,,,,,,,,,,42.581932800000686,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,1,1,1,1,312,131,1112,0,0,0,0,0,25,25,25,,,,,,,,,,,,,43.58476990000054,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,1,1,1,1,231,312,3311,0,0,0,0,0,26,26,26,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,0,0,1,1,232,113,2221,0,0,0,0,0,27,27,27,,,,,,,,,,,,,45.586118300000635,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
0,0,0,0,0,133,321,1232,0,0,0,0,0,28,28,28,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,0,1,1,0,231,313,2233,0,0,0,0,0,29,29,29,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,0,0,0,1,123,211,3311,0,0,0,0,0,30,30,30,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
1,0,1,1,1,311,133,1122,0,0,0,0,0,31,31,31,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.60251410000001,None,space,1.8851135000004433,49.60251410000001,None,51.505326600000444,None,space,3.9341129000004003,51.505326600000444,None,1,001,2022_May_11_1711,expStairCase,2021.2.3,59.74308085498731,
