iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,11.993576599983498,None,space,7.840862099983497,12.943952999979956,None,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,0,0,0,132,211,1113,0,0,0,0,0,0,0,0,,,,,,,30.807984999992186,None,space,16.96859800000675,30.807984999992186,None,48.82262659998378,49.82370199999423,49.82370199999423,54.62729959998978,54.61121799997636,None,50.82445821999863,None,"['num_1', 'num_3', 'num_2']","[1.7096502000058535, 1.94925079998211, 2.149621599994134]",54.61121799997636,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,0,1,312,231,2232,0,0,0,0,0,1,1,1,,,,,,,,,,,,,63.618097699974896,64.61852219997672,64.60211089998484,69.40626509999856,69.40626509999856,None,65.60294361998967,None,None,,69.40626509999856,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,1,0,1,313,232,1313,0,0,0,0,0,2,2,2,,,,,,,,,,,,,78.41305689999717,79.41457159997663,79.39698530000169,84.20114759998978,84.20114759998978,None,80.39817851998669,83.21717910000007,None,,84.20114759998978,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,0,0,323,212,2332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,93.20852779998677,94.2094021999801,94.2094021999801,99.01312499999767,99.01312499999767,92.22591999999713,95.2099869199883,None,None,,99.01312499999767,92.22591999999713,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,0,0,213,121,3312,0,0,0,0,0,4,4,4,,,,,,,,,,,,,108.03703039998072,109.03792009997414,109.02102519999607,113.82474149999325,113.82474149999325,None,110.02237402000173,None,None,,113.82474149999325,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,1,1,131,213,2223,0,0,0,0,0,5,5,5,,,,,,,,,,,,,122.81550050000078,123.81643079998321,123.81643079998321,128.62024079999537,128.62024079999537,None,124.81728521997866,127.63631499998155,None,,128.62024079999537,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,0,0,1,132,311,2122,0,0,0,0,0,6,6,6,,,,,,,,,,,,,137.62728149999748,138.6288981999969,138.6288981999969,143.43178399998578,143.41562939999858,None,139.62907971999084,142.44788699998753,None,,143.41562939999858,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,0,1,1,212,123,2123,0,0,0,0,0,7,7,7,,,,,,,,,,,,,152.42246599998907,153.42332549998537,153.42332549998537,158.22718950000126,158.22718950000126,None,154.4246371199988,None,None,,158.22718950000126,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,1,0,1,131,313,1323,0,0,0,0,0,8,8,8,,,,,,,,,,,,,167.23473629998625,168.23564659999101,168.21853489999194,173.02332279999973,173.00565379997715,None,169.21990011997696,172.03832549997605,None,,173.00565379997715,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,1,0,213,321,2221,0,0,0,0,0,9,9,9,,,,,,,,,,,,,182.0133093999757,183.01398299998255,183.01398299998255,187.81750489998376,187.80116819997784,None,184.0150058199797,None,None,,187.80116819997784,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,0,0,123,212,2113,0,0,0,0,0,10,10,10,,,,,,,,,,,,,196.8085944999766,197.8091776999936,197.8091776999936,202.61304430000018,202.61304430000018,195.82573119999142,198.8101140200015,None,None,,202.61304430000018,195.82573119999142,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,1,0,213,132,3221,0,0,0,0,0,11,11,11,,,,,,,,,,,,,211.63738279999234,212.63774679999915,212.62075229999027,217.42495259997668,217.42495259997668,None,213.62228162000247,None,None,,217.42495259997668,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,0,0,0,232,321,3132,0,0,0,0,0,12,12,12,,,,,,,,,,,,,226.4153144999873,227.41627989997505,227.41627989997505,232.22019849999924,232.22019849999924,None,228.41709721997904,231.23647899998468,None,,232.22019849999924,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,1,0,131,323,1132,0,0,0,0,0,13,13,13,,,,,,,,,,,,,241.22765829999116,242.22868909998215,242.22868909998215,247.03190599998925,247.03190599998925,None,243.228566019985,246.0477665999788,None,,247.03190599998925,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,0,0,0,232,313,3222,0,0,0,0,0,14,14,14,,,,,,,,,,,,,256.0226297999907,257.02348009997513,257.02348009997513,261.8272489999945,261.8106987999927,None,258.02396101997874,None,None,,261.8106987999927,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,1,1,1,312,123,2311,0,0,0,0,0,15,15,15,,,,,,,,,,,,,270.81742009997834,271.8185970999766,271.8185970999766,276.62242549998336,276.62242549998336,None,272.81914831999165,275.63880889999564,None,,276.62242549998336,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,1,0,121,212,2123,0,0,0,0,0,16,16,16,,,,,,,,,,,,,285.61309199998504,286.613813199976,286.613813199976,291.4176327000023,291.4176327000023,None,287.6144478199858,None,None,,291.4176327000023,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,0,0,0,213,131,2313,0,0,0,0,0,17,17,17,,,,,,,,,,,,,300.42501549998997,301.42617900000187,301.42617900000187,306.22955920000095,306.22955920000095,None,302.42694201999984,305.2457553999848,None,,306.22955920000095,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,1,0,1,132,221,2322,0,0,0,0,0,18,18,18,,,,,,,,,,,,,315.2201783999917,316.22090509999543,316.22090509999543,321.0249059999769,321.0249059999769,None,317.2215313199995,None,None,,321.0249059999769,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,0,0,1,121,313,1223,0,0,0,0,0,19,19,19,,,,,,,,,,,,,330.015508099983,331.01608770000166,331.01608770000166,335.8200794000004,335.8031143999833,None,332.01675881999836,334.8358794999949,None,,335.8031143999833,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,1,1,0,122,213,3123,0,0,0,0,0,20,20,20,,,,,,,,,,,,,344.79408809999586,345.7947632999858,345.7947632999858,350.5988393999869,350.5988393999869,343.8100335999916,346.7955387199909,None,None,,350.5988393999869,343.8100335999916,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,1,0,212,333,2322,0,0,0,0,0,21,21,21,,,,,,,,,,,,,359.60533559997566,360.60658059999696,360.60658059999696,365.41090489999624,365.41090489999624,358.6233311999822,361.6071835199982,364.4263941999816,None,,365.41090489999624,358.6233311999822,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,0,1,1,131,212,3321,0,0,0,0,0,22,22,22,,,,,,,,,,,,,374.4345566999982,375.4350697999762,375.4181650999817,380.22224370000185,380.22224370000185,None,376.41915662000247,379.2384708999889,None,,380.22224370000185,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
