iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,6.814732999999251,None,space,1.2582378999995854,7.76845510000021,None,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,1,0,0,0,312,121,1311,0,0,0,0,0,0,0,0,,,,,,,19.058776099998795,None,space,0.9675790999990568,19.058776099998795,None,21.061893000000055,22.063934199999494,22.063934199999494,26.867604899998696,26.867604899998696,None,23.064476189999187,25.88160179999977,None,26.867604899998696,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,0,1,0,1,212,133,1132,0,0,0,0,0,1,1,1,,,,,,,,,,,,,35.8726616999993,36.87651209999967,36.86009000000013,41.66243679999934,41.66243679999934,None,37.85950888999905,None,None,41.66243679999934,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,1,0,0,1,233,322,3212,0,0,0,0,0,2,2,2,,,,,,,,,,,,,50.66820279999956,51.670637299999726,51.670637299999726,56.47513059999983,56.47513059999983,None,52.67152558999878,55.48913720000019,None,56.47513059999983,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,1,1,1,1,313,231,3233,0,0,0,0,0,3,3,3,,,,,,,,,,,,,65.44914439999957,66.46613059999981,66.4481151,71.25280459999885,71.25280459999885,None,67.44894678999917,None,None,71.25280459999885,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,0,0,0,0,122,211,1213,0,0,0,0,0,4,4,4,,,,,,,,,,,,,80.26036139999997,81.26087369999914,81.26087369999914,86.06598419999864,86.06598419999864,None,82.26164078999936,85.07934459999888,None,86.06598419999864,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,1,1,0,0,113,232,2312,0,0,0,0,0,5,5,5,,,,,,,,,,,,,95.0699096999997,96.07371889999922,96.05840539999917,100.8593619000003,100.8593619000003,None,97.05725839000006,None,None,100.8593619000003,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,1,0,1,1,131,212,1121,0,0,0,0,0,6,6,6,,,,,,,,,,,,,109.86828779999996,110.86915099999896,110.86915099999896,115.67197909999959,115.65556970000034,None,111.86933968999874,None,None,115.65556970000034,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,0,1,1,0,321,213,1323,0,0,0,0,0,7,7,7,,,,,,,,,,,,,124.67779439999867,125.67853619999914,125.66136449999976,130.46632519999912,130.46632519999912,None,126.66426269000003,129.47944309999912,None,130.46632519999912,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,1,1,1,0,131,212,1222,0,0,0,0,0,8,8,8,,,,,,,,,,,,,139.44006959999933,140.44172249999974,140.44172249999974,145.2460855999998,145.2460855999998,None,141.44352598999905,None,None,145.2460855999998,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
