iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,13.759468899999774,None,space,8.077022899999065,14.709877600000254,None,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,1,0,1,232,323,3321,2,0,2,0,0,0,0,0,,,,,,,32.82477490000019,None,space,1.9060260000005655,32.82477490000019,None,35.77660389999983,36.77747880000061,36.76123949999965,41.56507410000086,41.56507410000086,None,37.76146866000054,None,"['num_2', 'num_3', 'num_2']","[0.7098383000011381, 1.3338412000011886, 1.8939052000005177]",41.56507410000086,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,0,1,1,212,131,1213,2,0,2,0,0,1,1,1,,,,,,,,,,,,,50.58916599999975,51.58956140000009,51.5726795999999,56.37657500000023,56.37657500000023,None,52.57344255999997,None,"['num_2', 'num_1', 'num_2']","[0.47480220000034024, 1.3145503000014287, 1.9305409000007785]",56.37657500000023,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,1,0,0,321,212,3321,2,0,2,0,0,2,2,2,,,,,,,,,,,,,65.36713940000118,66.3680645000004,66.3680645000004,71.17208500000015,71.17208500000015,None,67.36877916000012,70.18781740000122,"['num_3', 'num_2', 'num_1']","[0.5268668000007892, 1.110974500001248, 1.7029743000002782]",71.17208500000015,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,1,1,1,312,131,3121,2,0,2,0,0,3,3,3,,,,,,,,,,,,,80.17918090000057,81.1798816999999,81.1798816999999,85.98376330000065,85.96737050000047,None,82.18019215999956,85.0000398000011,"['num_3', 'num_1', 'num_2']","[0.6358412999998109, 1.2038869000007253, 1.8997581000003265]",85.96737050000047,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,0,0,0,213,131,2131,2,0,2,0,0,4,4,4,,,,,,,,,,,,,94.97442820000106,95.97515039999962,95.97515039999962,100.77898730000015,100.77898730000015,None,96.9760406600013,None,"['num_2', 'num_1', 'num_3']","[0.9118326000007073, 1.4240258000008907, 2.2001768999998603]",100.77898730000015,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,0,1,0,323,232,1333,2,0,2,0,0,5,5,5,,,,,,,,,,,,,109.76955520000047,110.77040359999955,110.77040359999955,115.57429220000085,115.57429220000085,None,111.77112715999974,None,"['num_3', 'num_2', 'num_3']","[0.5647935999986657, 1.3886499000000185, 2.0125609999995504]",115.57429220000085,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,1,1,1,123,231,2132,2,0,2,0,0,6,6,6,,,,,,,,,,,,,124.58179560000099,125.58264960000088,125.58264960000088,130.38618160000078,130.38618160000078,None,126.58303416000089,None,"['num_1', 'num_2', 'num_3']","[1.7047658000010415, 2.1767032999996445, 2.6245627000007516]",130.38618160000078,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,1,0,1,213,132,1333,2,0,2,0,0,7,7,7,,,,,,,,,,,,,139.37685430000056,140.3771968000001,140.3771968000001,145.18080630000077,145.16446480000013,None,141.36271106000058,None,"['num_2', 'num_1', 'num_3']","[0.8703748999996606, 1.6543978000008792, 2.6224562999996124]",145.16446480000013,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,0,1,1,132,323,3133,2,0,2,0,0,8,8,8,,,,,,,,,,,,,154.17181019999953,155.17262760000085,155.15588089999983,159.959847600001,159.959847600001,None,156.15662326000128,158.9759879000012,"['num_1', 'num_3', 'num_2']","[0.5711682000001019, 1.2430206999997608, 2.1232541000008496]",159.959847600001,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,1,1,1,231,312,1313,2,0,2,0,0,9,9,9,,,,,,,,,,,,,168.9668782000008,169.96818340000027,169.96818340000027,174.7715903999997,174.7715903999997,None,170.96876436000056,173.78790450000088,"['num_2', 'num_3', 'num_1']","[0.8393333000003622, 1.6072791000005964, 2.5910858000006556]",174.7715903999997,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,0,1,0,213,132,2233,2,0,2,0,0,10,10,10,,,,,,,,,,,,,183.77903920000062,184.77985400000034,184.77985400000034,189.58386439999958,189.58386439999958,None,185.78054235999988,188.60142980000091,"['num_2', 'num_1', 'num_3']","[0.7151360000007116, 1.7068416999991314, 2.507109300000593]",189.58386439999958,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,0,0,1,313,131,1131,2,0,2,0,0,11,11,11,,,,,,,,,,,,,198.57431309999993,199.57458320000114,199.57458320000114,204.37864199999967,204.36204250000083,None,200.57567126000103,None,"['num_3', 'num_1', 'num_3']","[1.169152499998745, 2.0489796999991086, 2.8889825999995082]",204.36204250000083,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,0,0,1,231,312,3122,2,0,2,0,0,12,12,12,,,,,,,,,,,,,213.3693733,214.37062119999973,214.37062119999973,219.17392050000126,219.17392050000126,None,215.37095746000122,None,"['num_2', 'num_3', 'num_1']","[0.6528766000010364, 1.3009727000007842, 1.9972754000009445]",219.17392050000126,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,1,0,1,321,232,1122,2,0,2,0,0,13,13,13,,,,,,,,,,,,,228.18087550000018,229.1820617000012,229.1820617000012,233.9863709000001,233.9863709000001,None,230.1827146600004,233.0016269000007,"['num_1', 'num_2', 'num_1']","[1.1444490000012593, 1.8963511000001745, 2.648653500000364]",233.9863709000001,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,1,0,1,231,312,1312,2,0,2,0,0,14,14,14,,,,,,,,,,,,,242.97620710000047,243.9771933000011,243.9771933000011,248.78088779999962,248.78088779999962,None,244.97801586000023,247.79765430000043,"['num_2', 'num_3', 'num_1']","[0.6543025999999372, 1.8139759000005142, 2.5501507999997557]",248.78088779999962,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,0,1,1,312,233,2122,2,0,2,0,0,15,15,15,,,,,,,,,,,,,257.7888961999997,258.78908840000076,258.7725011000002,263.5760105999998,263.5760105999998,None,259.7733354600001,None,"['num_2', 'num_1', 'num_2']","[1.5151019999993878, 2.0988466999988304, 2.730939999999464]",263.5760105999998,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,1,0,0,233,121,3231,2,0,2,0,0,16,16,16,,,,,,,,,,,,,272.5839408000011,273.5842571000012,273.56767820000096,278.37134499999956,278.37134499999956,None,274.5688722600004,None,"['num_2', 'num_3', 'num_2']","[0.8074873999994452, 1.4555276999999478, 2.0394852999997966]",278.37134499999956,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,0,0,1,323,232,3211,2,0,2,0,0,17,17,17,,,,,,,,,,,,,287.3959625000007,288.3965844000013,288.3792376000001,293.18365410000115,293.18365410000115,None,289.38085036000086,None,"['num_3', 'num_2', 'num_3']","[0.5472213000011834, 1.1151558000001387, 1.6830293000002712]",293.18365410000115,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
