iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,8.143803899991326,None,space,13.224360899999738,9.111455100006424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,0,1,0,323,232,3221,0,0,0,0,0,0,0,0,,,,,,,32.363246799999615,None,space,1.5485486999968998,32.363246799999615,None,34.948669999983395,35.96650869998848,35.94990569999209,40.75321279998752,40.736667299992405,None,36.9334671099874,None,['up'],[1.7431042999960482],40.736667299992405,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,0,1,0,131,213,3232,0,0,0,0,0,1,1,1,,,,,,,,,,,,,49.743916599982185,50.7447444999998,50.72800259999349,55.531885799980955,55.531885799980955,None,51.728926110002796,54.54745449998882,['down'],[0.5077006999927107],55.531885799980955,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,1,1,1,121,232,2321,0,0,0,0,0,2,2,2,,,,,,,,,,,,,64.53906029998325,65.53972349999822,65.53972349999822,70.3441010999959,70.32681009999942,None,66.54141750999551,None,['up'],[0.38480060000438243],70.32681009999942,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,0,0,0,112,333,1332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,79.33489589998499,80.33512129998417,80.33512129998417,85.13876959998743,85.13876959998743,78.35195489999023,81.33553560998698,None,['down'],[0.35739360001753084],85.13876959998743,78.35195489999023,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,1,1,0,0,212,323,2331,0,0,0,0,0,4,4,4,,,,,,,,,,,,,94.1628332999826,95.1634412999847,95.1472972999909,99.95093709998764,99.93415919999825,None,96.14819861000578,98.96689509999123,['up'],[0.3856839000072796],99.93415919999825,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,1,0,1,0,121,213,3323,0,0,0,0,0,5,5,5,,,,,,,,,,,,,108.94150879999506,109.94204560000799,109.94204560000799,114.74615880000056,114.74615880000056,None,110.94350661000644,None,None,,114.74615880000056,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,0,1,1,231,313,1211,0,0,0,0,0,6,6,6,,,,,,,,,,,,,123.75401579999016,124.75447709998116,124.75447709998116,129.55812889998197,129.55812889998197,None,125.75493671000876,None,None,,129.55812889998197,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,1,1,0,233,121,2232,0,0,0,0,0,7,7,7,,,,,,,,,,,,,138.53205690000323,139.53252380000777,139.53252380000777,144.33626769998227,144.33626769998227,None,140.5337947099848,None,None,,144.33626769998227,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,1,0,1,123,312,1312,0,0,0,0,0,8,8,8,,,,,,,,,,,,,153.3439037000062,154.3446311999869,154.32829400000628,159.13161109999055,159.13161109999055,None,155.32906540999247,158.1478736999852,None,,159.13161109999055,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
