iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.227417199999763,None,space,3.884811100000661,6.195814999999129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,1,1,1,0,123,231,3113,0,0,0,0,0,0,0,0,,,,,,,20.088471899998694,None,space,2.5366149000001315,20.088471899998694,None,23.675333799999862,24.677471799999694,24.659893899999588,29.464686999999685,29.464686999999685,None,25.661651349999193,None,['up'],[2.559627399999954],29.464686999999685,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,0,1,1,0,113,232,3123,0,0,0,0,0,1,1,1,,,,,,,,,,,,,38.45328940000036,39.45542139999998,39.45542139999998,44.25933689999874,44.25933689999874,None,40.456401049999656,43.275208299999576,['down'],[1.0371596999993926],44.25933689999874,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,0,1,1,1,322,131,2333,0,0,0,0,0,2,2,2,,,,,,,,,,,,,53.2673950999997,54.2673434999997,54.2673434999997,59.0712996000002,59.0712996000002,None,55.26852054999999,58.08691550000003,['down'],[3.105294499999218],59.0712996000002,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,1,0,1,0,232,121,1131,0,0,0,0,0,3,3,3,,,,,,,,,,,,,68.07762449999973,69.08024169999953,69.06353569999919,73.86677849999978,73.85015999999996,None,70.06372704999903,None,"['up', 'up']","[1.733957399999781, 1.8783462999999756]",73.85015999999996,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,0,0,1,0,231,113,2112,0,0,0,0,0,4,4,4,,,,,,,,,,,,,82.85721489999924,83.85655079999924,83.85655079999924,88.66283119999935,88.64350029999878,None,84.85798334999872,87.67658839999967,['down'],[1.7571294999997917],88.64350029999878,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,1,0,0,1,121,312,3313,0,0,0,0,0,5,5,5,,,,,,,,,,,,,97.65139230000023,98.65373779999936,98.65373779999936,103.45727110000007,103.45727110000007,None,99.65371384999871,None,['down'],[1.3270557999985613],103.45727110000007,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,1,0,1,1,312,131,3221,0,0,0,0,0,6,6,6,,,,,,,,,,,,,112.46491009999954,113.46542349999982,113.46542349999982,118.26814409999861,118.26814409999861,None,114.46520574999867,None,['down'],[1.7081194000002142],118.26814409999861,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,1,1,1,1,321,232,3321,0,0,0,0,0,7,7,7,,,,,,,,,,,,,127.2593199999992,128.2583588999987,128.2583588999987,133.06455089999872,133.06455089999872,None,129.26110684999895,None,['down'],[1.687908999998399],133.06455089999872,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,0,0,0,0,323,212,2321,0,0,0,0,0,8,8,8,,,,,,,,,,,,,142.05498400000033,143.05538309999974,143.05538309999974,147.85902979999992,147.85902979999992,None,144.05644374999957,146.87330999999904,['up'],[1.4536177999998472],147.85902979999992,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,0,0,1,1,223,132,2121,0,0,0,0,0,9,9,9,,,,,,,,,,,,,156.84961189999922,157.8513466000004,157.8513466000004,162.65475399999923,162.65475399999923,None,158.85109944999914,None,['down'],[1.3777833999993163],162.65475399999923,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,1,0,1,1,213,122,2332,0,0,0,0,0,10,10,10,,,,,,,,,,,,,171.6784502999999,172.6795633999991,172.6626311,177.46656859999894,177.46656859999894,None,173.66394774999918,None,['up'],[0.7019453000011708],177.46656859999894,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,1,0,1,0,112,323,2313,0,0,0,0,0,11,11,11,,,,,,,,,,,,,186.45769349999864,187.4578167999989,187.4578167999989,192.26168359999974,192.24511039999925,None,188.45867444999914,None,['down'],[1.7551402999997663],192.24511039999925,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,0,1,0,1,232,313,2311,0,0,0,0,0,12,12,12,,,,,,,,,,,,,201.2506744000002,202.25228009999955,202.25228009999955,207.05700309999884,207.05700309999884,None,203.25328084999984,206.07156849999956,['down'],[1.4713403999994625],207.05700309999884,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,0,1,1,0,332,123,2321,0,0,0,0,0,13,13,13,,,,,,,,,,,,,216.04714779999995,217.04841409999972,217.04841409999972,221.85089359999984,221.85089359999984,None,218.0484688499999,None,['down'],[1.2696837000003143],221.85089359999984,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,1,1,1,0,132,321,1132,0,0,0,0,0,14,14,14,,,,,,,,,,,,,230.86018630000035,231.8596222999986,231.8596222999986,236.6643992999998,236.6643992999998,None,232.85935305000004,None,['down'],[2.2000263999998424],236.6643992999998,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,1,0,1,1,323,112,2333,0,0,0,0,0,15,15,15,,,,,,,,,,,,,245.65501419999964,246.65398540000024,246.65398540000024,251.45926169999984,251.45926169999984,None,247.65621554999944,250.47408949999954,['down'],[2.732809899998756],251.45926169999984,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,0,0,1,1,213,131,3231,0,0,0,0,0,16,16,16,,,,,,,,,,,,,260.4671168999994,261.4676254999995,261.4676254999995,266.2709498999993,266.2709498999993,None,262.46827334999927,None,['down'],[1.5371433000000252],266.2709498999993,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,0,1,1,1,213,332,1231,0,0,0,0,0,17,17,17,,,,,,,,,,,,,275.2449557,276.24545149999904,276.24545149999904,281.0492601999995,281.0492601999995,None,277.2461957499998,None,['down'],[1.0790919000010035],281.0492601999995,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,1,0,0,0,231,323,3221,0,0,0,0,0,18,18,18,,,,,,,,,,,,,290.07180589999916,291.07481329999973,291.05755839999983,295.8612658000002,295.84466969999994,None,292.0413273499997,294.85965849999957,['down'],[1.6754894999994576],295.84466969999994,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,1,1,1,1,313,132,1231,0,0,0,0,0,19,19,19,,,,,,,,,,,,,304.8519809999998,305.85071459999926,305.85071459999926,310.6564493999995,310.6390320999999,None,306.8531950499999,309.6716749999996,['down'],[1.7853498000004038],310.6390320999999,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,0,0,1,0,321,213,2133,0,0,0,0,0,20,20,20,,,,,,,,,,,,,319.6457314999989,320.6479225000003,320.6479225000003,325.4516619999995,325.4516619999995,318.6626219999998,321.64892134999883,None,['down'],[1.8686386999997922],325.4516619999995,318.6626219999998,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,1,1,0,0,212,123,2223,0,0,0,0,0,21,21,21,,,,,,,,,,,,,334.45949719999953,335.459705199999,335.459705199999,340.2637677999992,340.2637677999992,None,336.4605237499998,None,['down'],[1.8558991999998398],340.2637677999992,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,1,1,0,0,321,213,1213,0,0,0,0,0,22,22,22,,,,,,,,,,,,,349.25413219999973,350.2548661000001,350.2548661000001,355.05844649999926,355.05844649999926,None,351.25628965000016,None,['down'],[1.2376622000010684],355.05844649999926,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,0,1,1,0,332,121,3221,0,0,0,0,0,23,23,23,,,,,,,,,,,,,364.0663625999987,365.0826066999998,365.06566219999877,369.8709730999999,369.8709730999999,None,366.06715674999924,None,['down'],[0.753211300001567],369.8709730999999,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,1,0,1,0,213,321,1131,0,0,0,0,0,24,24,24,,,,,,,,,,,,,378.8597529999988,379.86224129999937,379.86224129999937,384.6657319999995,384.6657319999995,None,380.8628630499987,383.6814321999991,['down'],[1.998201300000801],384.6657319999995,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,1,1,1,1,312,131,1112,0,0,0,0,0,25,25,25,,,,,,,,,,,,,393.6566540999993,394.6577782000004,394.6577782000004,399.46082000000024,399.46082000000024,None,395.65789874999956,None,['down'],[1.859185500001331],399.46082000000024,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,1,1,1,1,231,312,3311,0,0,0,0,0,26,26,26,,,,,,,,,,,,,408.45143819999976,409.4527612999991,409.4527612999991,414.25655799999913,414.240067499999,None,410.45269935000016,413.27159389999906,['down'],[0.632061899999826],414.240067499999,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,0,0,1,1,232,113,2221,0,0,0,0,0,27,27,27,,,,,,,,,,,,,423.2474067999992,424.2479234000002,424.2479234000002,429.0520521999988,429.0520521999988,422.261706199999,425.24899094999984,None,['down'],[2.180177600001116],429.0520521999988,422.261706199999,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
0,0,0,0,0,133,321,1232,0,0,0,0,0,28,28,28,,,,,,,,,,,,,438.0586368000004,439.0598523999997,439.0598523999997,443.8633114000004,443.84653230000004,None,440.06088184999845,442.8789648000002,['down'],[3.0093515000007756],443.84653230000004,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,0,1,1,0,231,313,2233,0,0,0,0,0,29,29,29,,,,,,,,,,,,,452.8539899999996,453.8545815999987,453.8545815999987,458.6586434000001,458.64183520000006,None,454.8549782499993,None,['down'],[2.694211300000461],458.64183520000006,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,0,0,0,1,123,211,3311,0,0,0,0,0,30,30,30,,,,,,,,,,,,,467.6493295,468.6497206999993,468.6497206999993,473.45390810000026,473.45390810000026,466.68078499999865,469.6502246500002,472.4697641999992,['down'],[2.5219816000007995],473.45390810000026,466.68078499999865,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
1,0,1,1,1,311,133,1122,0,0,0,0,0,31,31,31,,,,,,,,,,,,,482.460845399999,483.4616681999996,483.4616681999996,488.2652187999993,488.2652187999993,None,484.4626893499988,None,['down'],[0.6146247999986372],488.2652187999993,None,,,,,,,,,,,,,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.27011649999986,None,space,30.201570700000957,496.27011649999986,None,526.5118395999998,None,space,3.520315699999628,526.5118395999998,None,2,001,2022_May_11_1851,expStairCase,2021.2.3,59.9623196784719,
