iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,24.788055499986513,None,space,5.307037900027353,25.73881569999503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,0,1,0,213,121,1123,211,0,0,0,0,0,0,0,0,0,,,,,,,41.08292509999592,None,space,6.730739899998298,41.08292509999592,None,48.8732478999882,49.890008699992904,49.87469609998516,54.67892700000084,54.66155109999818,None,50.85873236664726,None,"['num_2', 'num_3']","[0.6640991999884136, 1.3758851999882609]",54.66155109999818,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,1,0,0,131,313,2331,313,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,63.667804899974726,64.66844999999739,64.65302050000173,69.45726879997528,69.4390538999869,None,65.65310116665593,68.47405039999285,"['num_1', 'num_3', 'num_2']","[1.7979655000090133, 2.9899090999970213, 3.4543653999862727]",69.4390538999869,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,0,1,0,232,313,3132,132,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,78.44767649998539,79.44853119997424,79.44853119997424,84.25215539999772,84.25215539999772,77.46347779998905,80.44984756666624,None,"['num_3', 'num_2', 'num_3']","[1.4488385999866296, 2.1131773999950383, 2.969242299994221]",84.25215539999772,77.46347779998905,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,0,1,0,123,231,3131,122,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,93.26053369999863,94.27586249998421,94.24259559999336,99.0468048999901,99.0468048999901,None,95.24457776666192,98.06224829997518,"['num_1', 'num_1', 'num_3']","[0.9745221999764908, 1.862264099996537, 2.5987366999906953]",99.0468048999901,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,1,1,0,313,132,2231,112,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,108.07060789997922,109.0711103999929,109.05588999998872,113.8598124999844,113.8598124999844,None,110.05529826664521,None,"['num_1', 'num_2', 'num_1']","[0.90548950000084, 1.7695520000124816, 2.433746599999722]",113.8598124999844,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,1,1,0,213,121,3123,231,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,122.86699699997553,123.88294689997565,123.84932849998586,128.65467309998348,128.63707830000203,None,124.85184486664754,127.66927489999216,"['num_3', 'num_2', 'num_2']","[0.84010390000185, 1.4962968000036199, 2.272512000025017]",128.63707830000203,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,0,0,0,223,132,1133,112,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,137.6455474999966,138.6445764999953,138.6445764999953,143.4486497999751,143.4486497999751,136.66084119997686,139.64556256664608,None,"['num_3', 'num_1', 'num_2']","[1.068544900015695, 2.0365743000002112, 2.6761112000094727]",143.4486497999751,136.66084119997686,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,1,0,1,131,323,2123,132,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,152.45813409998664,153.47345900000073,153.4581157999928,158.2625140999735,158.24522789998446,None,154.45756126664153,None,"['num_1', 'num_2', 'num_1']","[0.9357593000167981, 1.5199872000084724, 2.1438944000110496]",158.24522789998446,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,1,0,0,121,213,2231,213,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,167.25250459997915,168.2535007999977,168.2535007999977,173.0572040999832,173.03897939997842,None,169.2372517666411,None,"['num_3', 'num_2', 'num_3']","[0.9020578000054229, 1.3582928999967407, 1.7823820000048727]",173.03897939997842,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,0,1,1,131,213,1131,311,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,182.04853799997363,183.04714339997736,183.03252670000074,187.83435679998365,187.83435679998365,None,184.03270236665074,None,"['num_1', 'num_2', 'num_3']","[0.9228085999784525, 1.4031018999812659, 1.795027599990135]",187.83435679998365,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,1,1,1,321,213,1333,112,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,196.8428428999905,197.8440738999925,197.8440738999925,202.6474369999778,202.6474369999778,195.85863149998477,198.8432105666473,None,"['num_3', 'num_2', 'num_1']","[0.7416872000030708, 1.1258726000087336, 1.4937104000127874]",202.6474369999778,195.85863149998477,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,1,0,1,321,232,2112,233,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,211.67054319998715,212.67274159999215,212.65411949998816,217.4581147999852,217.4581147999852,None,213.6562207666614,None,"['num_3', 'num_2', 'num_3']","[0.7152971000177786, 1.1550793999922462, 1.5308924000128172]",217.4581147999852,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,0,0,1,313,121,3312,212,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,226.4495806999912,227.4498670999892,227.4498670999892,232.2552298999799,232.2552298999799,None,228.450248466663,231.2690155999735,"['num_2', 'num_3', 'num_1']","[0.9017808999924455, 1.5578927999886218, 2.125942099984968]",232.2552298999799,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
