iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,11.229569000000993,None,space,6.48296240000127,12.19719460000124,None,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,0,0,0,312,121,1311,0,0,0,0,0,0,0,0,,,,,,,28.710205200000928,None,space,1.761877299999469,28.710205200000928,None,31.529995099999724,32.529888400000345,32.513181899999836,37.31692690000091,37.31692690000091,None,33.51450155999974,None,"['num_2', 'num_2']","[0.6911603999997169, 1.1074057999994693]",37.31692690000091,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,1,0,1,212,133,1132,0,0,0,0,0,1,1,1,,,,,,,,,,,,,46.3248650000005,47.325300100001186,47.308554000001095,52.11241730000074,52.11241730000074,None,48.30926215999953,None,"['num_1', 'num_2']","[0.08806019999974524, 0.6800571999992826]",52.11241730000074,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,0,0,1,233,322,3212,0,0,0,0,0,2,2,2,,,,,,,,,,,,,61.120139599999675,62.11981960000048,62.103112200000396,66.90839150000102,66.90839150000102,None,63.10420865999968,None,"['num_3', 'num_3']","[0.20378049999999348, 2.395640300001105]",66.90839150000102,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,1,1,1,1,313,231,3233,0,0,0,0,0,3,3,3,,,,,,,,,,,,,75.9148712999995,76.9153452999999,76.9153452999999,81.71954350000124,81.70298680000087,None,77.91718186000125,80.73530370000117,"['num_3', 'num_1', 'num_3']","[0.8252148999999918, 1.5535129999989294, 2.2493328000000474]",81.70298680000087,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,0,0,0,122,211,1213,0,0,0,0,0,4,4,4,,,,,,,,,,,,,90.70977080000011,91.7111574999999,91.7111574999999,96.51464080000005,96.51464080000005,None,92.71158766000062,95.53081759999986,"['num_1', 'num_2', 'num_1']","[0.9657294999997248, 1.669870699999592, 2.3897161000004417]",96.51464080000005,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,1,0,0,113,232,2312,0,0,0,0,0,5,5,5,,,,,,,,,,,,,105.5224173000006,106.52295270000104,106.50631629999953,111.30970789999992,111.30970789999992,None,107.50690165999967,None,"['num_1', 'num_1', 'num_3']","[0.8424015000000509, 1.1946136000005936, 2.066559100001541]",111.30970789999992,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,1,0,1,1,131,212,1121,0,0,0,0,0,6,6,6,,,,,,,,,,,,,120.31688010000107,121.31802700000117,121.31802700000117,126.12182600000051,126.12182600000051,None,122.3186908600006,None,"['num_1', 'num_3', 'num_1']","[0.6058456000009755, 1.2622903999999835, 1.9661942000002455]",126.12182600000051,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,1,1,0,321,213,1323,0,0,0,0,0,7,7,7,,,,,,,,,,,,,135.12872770000104,136.12931620000018,136.11286850000033,140.9169481000008,140.9169481000008,None,137.1136131600002,None,"['num_3', 'num_2', 'num_1']","[0.9950322999993659, 1.5870402000000468, 2.211126599999261]",140.9169481000008,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,1,1,1,0,131,212,1222,0,0,0,0,0,8,8,8,,,,,,,,,,,,,149.92463450000105,150.92495080000117,150.90811910000048,155.71193250000033,155.71193250000033,None,151.90884116000106,154.72863890000008,"['num_1', 'num_2', 'num_1']","[1.047884999999951, 1.7522989000008238, 2.3923859000005905]",155.71193250000033,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,1,0,1,0,211,132,3133,0,0,0,0,0,9,9,9,,,,,,,,,,,,,164.70277850000093,165.7029805000002,165.7029805000002,170.50731149999956,170.50731149999956,None,166.70422506000122,169.5231904000011,"['num_2', 'num_1', 'num_1']","[0.6207844000000478, 1.1971298000007664, 1.7807735000005778]",170.50731149999956,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,0,1,1,323,231,2331,0,0,0,0,0,10,10,10,,,,,,,,,,,,,179.51441330000125,180.51542400000108,180.51542400000108,185.3188091000011,185.3188091000011,None,181.51602456000055,184.33543720000125,"['num_3', 'num_2', 'num_3']","[0.8093449999996665, 1.4654442999999446, 2.1211047999986476]",185.3188091000011,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
