iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,15.084213400001317,None,space,22.58309999999983,16.034409899999446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
0,1,1,1,0,313,232,3331,4,0,4,0,0,0,0,0,,,,,,,48.643841000000975,None,space,1.253966300002503,48.643841000000975,None,50.96280350000234,51.96315859999959,51.94671510000262,56.7503300999997,56.7503300999997,None,52.946971830001715,55.766776200001914,"['num_3', 'num_1', 'num_3']","[0.5793580999998085, 1.1396131000001333, 1.651616399998602]",56.7503300999997,None,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
1,0,0,0,0,231,123,1113,4,0,4,0,0,1,1,1,,,,,,,,,,,,,65.75800850000087,66.75843990000067,66.7419047000003,71.54551250000077,71.54551250000077,None,67.74275962999964,None,"['num_2', 'num_3', 'num_1']","[0.7844621000003826, 1.384389700000611, 2.2243100000014238]",71.54551250000077,None,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
1,1,1,0,0,132,323,1112,4,0,4,0,0,2,2,2,,,,,,,,,,,,,80.5369498,81.53701750000255,81.52007220000087,86.32446660000278,86.32446660000278,None,82.52130863000203,None,"['num_1', 'num_3', 'num_2']","[1.1097391000002972, 1.741433399998641, 2.517362700000376]",86.32446660000278,None,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
1,0,1,0,1,223,331,1222,4,0,4,0,0,3,3,3,,,,,,,,,,,,,95.34875970000212,96.34911909999937,96.33219090000057,101.13607030000276,101.13607030000276,94.34864390000075,97.33283143000081,None,"['num_2', 'num_2', 'num_3']","[0.8897193000011612, 1.4176532000019506, 1.9696852000015497]",101.13607030000276,94.34864390000075,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
1,0,1,1,1,112,323,3212,4,0,4,0,0,4,4,4,,,,,,,,,,,,,110.1433947000005,111.1439575000004,111.1439575000004,115.94782430000123,115.94782430000123,None,112.14530212999962,114.96370200000092,"['num_1', 'num_1', 'num_2']","[0.5980264999998326, 1.1575382000009995, 1.7820375000010245]",115.94782430000123,None,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
0,1,0,1,0,313,232,3322,4,0,4,0,0,5,5,5,,,,,,,,,,,,,124.95576749999964,125.95595180000237,125.93939600000158,130.74334880000242,130.74334880000242,None,126.94016703000234,None,"['num_3', 'num_1', 'num_3']","[1.3623544999973092, 2.1225993000007293, 2.906775999999809]",130.74334880000242,None,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
0,1,0,1,1,213,121,3233,4,0,4,0,0,6,6,6,,,,,,,,,,,,,139.75028569999995,140.75125610000032,140.75125610000032,145.55512230000022,145.55512230000022,None,141.75197833000055,None,"['num_3', 'num_1', 'num_3']","[1.1666932999978599, 2.0705812999985937, 4.030645099999674]",145.55512230000022,None,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
1,0,0,1,1,123,312,2321,4,0,4,0,0,7,7,7,,,,,,,,,,,,,154.56216810000114,155.5630732000027,155.54646800000046,160.3503976000029,160.3503976000029,None,156.54705933000076,None,"['num_1', 'num_2', 'num_3']","[0.6835471999984293, 1.2993318000008003, 2.091372999999294]",160.3503976000029,None,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
1,0,1,0,0,132,323,1311,4,0,4,0,0,8,8,8,,,,,,,,,,,,,169.34120500000063,170.3419642000008,170.3419642000008,175.14535780000006,175.14535780000006,None,171.34248683000186,None,"['num_1', 'num_3', 'num_2']","[0.6565570999991905, 1.288357500001439, 1.9527366000002075]",175.14535780000006,None,,,,,,,,,,,,,2,001,2022_May_11_1950,expDesign_,2021.2.3,59.876438981121865,
