iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,9.429298100003507,None,space,5.91462710002088,10.39512279999326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,0,0,1,0,211,323,3112,122,1,0,0,0,0,0,0,0,0,,,,,,,26.341414700000314,None,space,2.119704399985494,26.341414700000314,None,29.509942400007276,30.510327900003176,30.494983400014462,35.29718409999623,35.29718409999623,None,31.494197066673465,None,['down'],[0.6604784000082873],35.29718409999623,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,1,1,1,1,323,231,2213,213,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,44.32335439999588,45.33848730000318,45.30552510000416,50.11110860001645,50.11110860001645,None,46.30785076666895,None,['up'],[0.8541308999992907],50.11110860001645,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,1,0,1,1,121,213,3222,311,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,59.09968200000003,60.10070179999457,60.10070179999457,64.90466520001064,64.90466520001064,None,61.102714566663295,None,['down'],[1.9805575000063982],64.90466520001064,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,1,0,0,0,213,321,2221,121,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,73.91191379999509,74.91268820001278,74.91268820001278,79.71793099999195,79.71793099999195,None,75.91458356666068,None,"['up', 'down', 'down']","[1.7673133999924175, 3.783319699985441, 4.2154824000026565]",79.71793099999195,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,0,1,1,1,231,123,1223,211,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,88.72413760001655,89.72445350000635,89.70918880001409,94.5116093000106,94.5116093000106,None,90.70967706665785,93.52963209999143,['up'],[0.7018835000053514],94.5116093000106,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,0,0,1,1,313,232,3223,231,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,103.50410590000683,104.52129299999797,104.50362430000678,109.30867319999379,109.30867319999379,None,105.5058802666647,None,['down'],[1.784396500006551],109.30867319999379,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,1,0,1,0,132,321,3321,312,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,118.31609440001193,119.31494139999268,119.29999010000029,124.10184380001738,124.10184380001738,None,120.30030556666703,None,['down'],[0.9991565000091214],124.10184380001738,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,0,1,1,0,123,232,1112,211,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,133.12639240000863,134.12816210000892,134.11063179999474,138.91410379999434,138.91410379999434,None,135.11103436668444,None,['down'],[1.587149800005136],138.91410379999434,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,0,1,1,0,232,313,2132,231,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,147.90471070000785,148.90715620000265,148.90715620000265,153.71035030001076,153.71035030001076,None,149.90604086665942,None,['up'],[0.5268830999848433],153.71035030001076,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,1,1,1,0,312,131,2132,122,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,162.71714399999473,163.71845179999946,163.70064160000766,168.50447070001974,168.50447070001974,None,164.70244056667823,None,['down'],[1.3728796000068542],168.50447070001974,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,1,1,1,1,321,213,3233,321,1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,177.49655640000128,178.4975534999976,178.4975534999976,183.30163990001893,183.30163990001893,None,179.496627766672,182.31617920001736,['down'],[1.623387500003446],183.30163990001893,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,1,0,0,1,212,131,1331,112,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,192.30808790001902,193.3094323000114,193.3094323000114,198.1286953999952,198.09502050001174,None,194.30864176666753,None,['down'],[1.9496892000024673],198.09502050001174,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,0,0,1,1,321,212,1112,131,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,207.11918390000938,208.11961600001086,208.10470429999987,212.90891240001656,212.90891240001656,None,209.10370906666893,None,None,,212.90891240001656,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,0,1,0,0,321,212,2131,331,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,221.91386130001047,222.9148056000122,222.9148056000122,227.7188015000138,227.7188015000138,None,223.91711216667707,226.73474270000588,['down'],[0.4062303999962751],227.7188015000138,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,1,0,0,0,332,123,2121,121,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,236.72648840001784,237.726702999993,237.71166930001345,242.51388620000216,242.51388620000216,None,238.71101526666124,None,['down'],[2.003253099974245],242.51388620000216,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,0,1,1,1,232,321,2311,121,1,0,0,0,0,0,15,15,15,,,,,,,,,,,,,251.52287740001339,252.53870890001417,252.5049222999951,257.30900649999967,257.30900649999967,None,253.50818646667565,256.32697250001365,None,,257.30900649999967,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,1,0,1,0,212,321,3221,332,1,0,0,0,0,0,16,16,16,,,,,,,,,,,,,266.3004971999908,267.3024223000102,267.2837417999981,272.0875989999913,272.0875989999913,None,268.2861874666744,271.10340009999345,"['up', 'up']","[0.15737129998160526, 4.797355499991681]",272.0875989999913,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,0,0,1,0,323,212,3223,223,1,0,0,0,0,0,17,17,17,,,,,,,,,,,,,281.0960677000112,282.09564070001943,282.09564070001943,286.9008708000183,286.9008708000183,280.11226230001193,283.0964372666824,285.91551200000686,['up'],[1.1837559999839868],286.9008708000183,280.11226230001193,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,0,0,0,1,232,321,3133,231,1,0,0,0,0,0,18,18,18,,,,,,,,,,,,,295.90895740000997,296.9075923000055,296.9075923000055,301.7113057000097,301.7113057000097,None,297.90828006668403,None,['down'],[0.7657974000030663],301.7113057000097,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,1,1,1,1,232,313,2212,121,1,0,0,0,0,0,19,19,19,,,,,,,,,,,,,310.72059149999404,311.7197019000014,311.7039313999994,316.5080629000149,316.5080629000149,None,312.7054440666727,315.52253539999947,['down'],[2.913031800009776],316.5080629000149,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,1,1,1,0,321,232,2232,122,0,0,0,0,0,0,20,20,20,,,,,,,,,,,,,325.4970619000087,326.49783040001057,326.49783040001057,331.3016367999953,331.3016367999953,None,327.5002858666742,None,['down'],[1.2074041000159923],331.3016367999953,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
0,0,0,0,0,332,123,3123,223,0,0,0,0,0,0,21,21,21,,,,,,,,,,,,,340.3273698000121,341.32665760000236,341.3117499999935,346.11379190001753,346.11379190001753,None,342.3120147666816,None,['down'],[5.971279299992602],346.11379190001753,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,1,1,1,0,232,323,1313,122,0,0,0,0,0,0,22,22,22,,,,,,,,,,,,,355.12161679999554,356.1218109000183,356.1065707000089,360.9108678000048,360.9108678000048,None,357.10807936668084,None,None,,360.9108678000048,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
1,0,1,0,0,132,321,3222,322,0,0,0,0,0,0,23,23,23,,,,,,,,,,,,,369.91674230000353,370.9170788000047,370.90182250001817,375.7058905000158,375.7058905000158,None,371.9010272666676,None,['down'],[2.275093999982346],375.7058905000158,None,,,,,,,,,,,,,3,001,2022_May_21_1916,expStairCase,2021.2.3,None,
