iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,1,0,0,123,231,2213,122,1
0,0,0,0,1,322,213,3332,331,1
0,1,0,0,1,323,212,3112,211,1
0,1,1,0,1,232,123,3311,211,0
0,0,1,1,1,332,121,2113,123,0
0,1,0,0,0,122,231,1113,212,1
1,0,0,1,0,323,132,3221,121,1
0,1,0,1,0,132,213,3322,221,0
1,0,0,0,1,322,231,3232,122,1
0,0,1,0,0,231,313,1233,222,1
1,1,1,0,1,121,213,3223,112,1
1,1,1,1,0,313,232,3211,113,0
1,1,1,0,0,313,232,2312,213,0
1,0,0,0,0,213,121,1323,121,0
1,1,0,0,1,223,312,3232,111,0
1,1,1,1,1,131,213,1123,211,0
1,1,0,1,0,321,113,2232,312,0
0,1,1,1,1,312,123,2311,331,0
0,0,0,0,0,331,212,2111,213,0
1,0,1,1,1,121,233,3323,223,1
1,1,0,0,0,132,321,2232,113,1
0,1,1,1,0,321,232,3123,212,1
1,0,1,0,0,132,213,2321,222,1
0,0,1,0,1,312,231,2221,221,1
0,1,0,1,1,132,321,1322,122,1
1,0,0,1,1,231,313,3332,122,0
0,0,0,1,1,312,231,2311,332,1
0,0,1,1,0,322,213,2123,132,0
0,0,0,1,0,232,313,1231,111,0
1,1,0,1,1,312,231,2113,231,0
1,0,1,0,1,313,121,1133,322,1
1,0,1,1,0,213,322,3123,211,0
