iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent
1,0,0,1,1,231,323,3112
0,1,1,0,1,212,321,3211
1,0,0,1,1,313,232,1312
1,1,0,1,0,212,331,2133
0,0,0,1,1,132,313,3223
0,0,1,1,0,112,321,1223
0,0,1,0,1,313,121,1332
0,1,1,0,1,313,232,1131
1,1,1,1,1,113,321,2312
0,0,1,0,0,321,233,3322
0,1,0,1,0,323,212,2233
1,0,1,0,0,212,331,3311
0,1,1,0,0,122,231,1221
0,1,0,0,0,132,321,2333
1,0,0,1,0,132,323,2223
1,0,1,0,1,313,131,1231
1,0,0,1,0,121,312,1311
1,0,0,0,1,313,132,1222
0,1,0,1,1,131,213,2113
0,1,0,0,1,321,132,2323
1,1,1,0,1,132,213,1211
1,0,0,0,0,312,123,3223
0,1,1,1,0,232,323,1331
1,0,0,1,1,131,313,3323
0,0,1,0,1,133,222,2113
1,1,0,1,0,231,312,3321
0,0,0,0,0,212,131,1313
0,1,1,0,1,132,213,3312
1,0,1,1,0,312,123,2131
1,1,1,0,1,323,232,1232
0,1,1,1,0,321,232,1122
1,1,0,1,0,232,321,1313
