iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent
0,1,0,1,0,323,232,3221
1,0,0,1,0,131,213,3232
1,0,1,1,1,121,232,2321
1,0,0,0,0,112,333,1332
1,1,1,0,0,212,323,2331
1,1,0,1,0,121,213,3323
0,0,0,1,1,231,313,1211
0,0,1,1,0,233,121,2232
0,0,1,0,1,123,312,1312
1,0,1,1,1,122,231,1311
1,0,1,1,1,131,312,1333
0,1,1,0,0,311,123,2312
0,0,1,1,1,333,121,2332
1,0,1,1,0,312,221,3121
0,1,0,1,0,223,132,2322
1,0,1,0,0,131,312,2112
0,0,1,1,0,232,323,2313
0,0,0,0,1,123,231,2332
0,1,0,1,1,213,321,1311
1,1,1,0,0,131,323,1123
1,0,1,1,0,332,121,2113
0,1,0,1,1,313,231,3323
0,0,0,1,1,221,133,3113
1,0,0,0,1,213,321,1221
0,1,1,0,0,313,232,1122
1,1,0,0,1,312,231,2133
0,1,0,1,1,212,323,2133
1,1,1,1,1,121,212,2122
0,1,0,0,0,323,232,2121
1,1,0,1,0,123,312,1223
1,1,1,0,1,132,321,2231
0,1,0,0,1,313,231,1133
