iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,1,1,1,323,131,3223,233,1
1,1,1,0,0,232,121,3131,132,1
0,0,1,1,0,321,212,2233,221,1
0,1,0,0,1,223,312,1331,312,1
0,0,0,1,0,321,213,3231,321,0
0,1,0,0,0,231,123,2322,133,1
0,0,1,1,1,112,231,2333,221,0
1,0,1,1,0,212,323,3212,232,0
0,1,0,1,1,232,323,3231,111,0
1,0,1,1,1,131,312,1213,331,1
0,0,1,1,1,131,313,1233,113,1
1,1,0,1,0,313,131,3231,221,1
1,0,0,1,0,313,121,2121,131,0
1,1,0,1,1,213,121,2233,212,0
1,0,0,0,1,313,121,1333,233,0
1,1,1,1,0,312,231,3331,213,0
0,0,0,0,1,123,231,2311,222,0
1,1,0,1,1,131,213,1231,121,1
0,1,1,0,0,131,323,2231,332,0
1,1,1,1,1,131,313,1112,131,0
1,0,0,1,0,312,123,2313,213,0
0,1,0,1,0,121,213,2313,231,1
0,0,0,1,0,233,121,1133,133,0
0,0,1,1,0,312,121,3221,131,1
0,1,1,1,1,212,133,3313,112,1
1,1,1,1,1,121,213,1323,123,1
1,0,1,1,1,231,313,1322,211,0
0,0,0,1,1,131,322,2111,131,0
1,0,0,1,1,113,231,2133,321,1
1,0,1,0,0,113,331,3323,232,1
0,1,1,1,0,121,232,2123,113,1
1,1,0,0,0,313,221,3212,212,0
